معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
7501,Jocolon 400,mesalazine,400mg,قرص مغلف,سيتي,mesalazine 400mg / c-tab,coated-tab,بيانات مكتملة
7502,Jocolon 800,mesalazine,800mg,قرص مغلف,سيتي,mesalazine 800mg / c-tab,coated-tab,بيانات مكتملة
7503,Kalirim,citric Acid + potassium Bi Carbonate + sodium Citrate 835mg / eff-tab,1200mg + 965mg + ,قرص فوار,سيتي,citric Acid 1200mg+potassium Bi Carbonate 965mg+sodium Citrate 835mg / eff-tab,eff-tab,بيانات مكتملة
7504,Kalirim 965,citric Acid + potassium Bi Carbonate + sodium Citrate 835mg / sachet,1200mg + 965mg + ,ظرف,سيتي,citric Acid 1200mg+potassium Bi Carbonate 965mg+sodium Citrate 835mg / sachet,sachet,بيانات مكتملة
7505,Kalirim 967.5,potassium Bi Carbonate 967.5mg / eff-tab,,قرص فوار,سيتي,potassium Bi Carbonate 967.5mg / eff-tab,eff-tab,بيانات مكتملة
7506,Kalirim XR 10,potassium Citrate 1080mg / ER-tab =10m Eq,,ER-tab,سيتي,potassium Citrate 1080mg / ER-tab =10m Eq,ER-tab,بيانات مكتملة
7507,Kalirim XR 15,potassium Citrate 1620mg / ER-tab =15m Eq,,ER-tab,سيتي,potassium Citrate 1620mg / ER-tab =15m Eq,ER-tab,بيانات مكتملة
7508,Lithocarb 300,lithium Carbonate,300mg,قرص,سيتي,lithium Carbonate 300mg / tab,tab,بيانات مكتملة
7509,Lotenol 100,atenolol,100mg,قرص,سيتي,atenolol 100mg / tab,tab,بيانات مكتملة
7510,Lotenol 25,atenolol,25mg,قرص,سيتي,atenolol 25mg / tab,tab,بيانات مكتملة
7511,Lotenol 50,atenolol,50mg,قرص,سيتي,atenolol 50mg / tab,tab,بيانات مكتملة
7512,Magnesium 200,magnesium Citrate 200mg / eff-tab,,قرص فوار,سيتي,magnesium Citrate 200mg / eff-tab,eff-tab,بيانات مكتملة
7513,Melocam 15,meloxicam,15mg,تحاميل,سيتي,meloxicam 15mg / supp,supp,بيانات مكتملة
7514,Melocam 7.5,meloxicam,7.5mg,تحاميل,سيتي,meloxicam 7.5mg / supp,supp,بيانات مكتملة
7515,Memotam 1200,piracetam,1200mg,قرص مغلف,سيتي,piracetam 1200mg / c-tab,coated-tab,بيانات مكتملة
7516,Memotam 800,piracetam,800mg,قرص مغلف,سيتي,piracetam 800mg / c-tab,coated-tab,بيانات مكتملة
7517,Mucobronc 125,carbo Cisteine,125mg,شراب,سيتي,carbo Cisteine 125mg / 5ml,syrup,بيانات مكتملة
7518,Mucobronc 250,carbo Cisteine,250mg,شراب,سيتي,carbo Cisteine 250mg / 5ml,syrup,بيانات مكتملة
7519,Mucobronc 375,carbo Cisteine,375mg,كبسولة,سيتي,carbo Cisteine 375mg / cap,cap,بيانات مكتملة
7520,MVit,folic Acid + thiamine + vit B12 + vit B6 + vit B12 + ascorbic Acid + vit E + vit H + --- / eff-tab,1mg + 10mg + 6mg + 10mg + 0.005mg + 100mg + 10mg + 0.250mg + ,قرص فوار,سيتي,folic Acid 1mg+thiamine 10mg+vit B12 6mg+vit B6 10mg+vit B12 0.005mg+ascorbic Acid 100mg+vit E 10mg+vit H 0.250mg+--- / eff-tab,eff-tab,بيانات مكتملة
7521,Myoxal 500,methocarbamol,500mg,قرص,سيتي,methocarbamol 500mg / tab,tab,بيانات مكتملة
7522,Myoxal 750,methocarbamol,750mg,قرص مغلف,سيتي,methocarbamol 750mg / tab,coated-tab,بيانات مكتملة
7523,Myoxal Plus 200/500,ibuprofen + methocarbamol,200mg + 500mg,قرص مغلف,سيتي,ibuprofen 200mg+methocarbamol 500mg / tab,coated-tab,بيانات مكتملة
7524,Myoxal Plus 400/750,ibuprofen + methocarbamol,400mg + 750mg,قرص مغلف,سيتي,ibuprofen 400mg+methocarbamol 750mg / tab,coated-tab,بيانات مكتملة
7525,Nabton 500,nabumetone,500mg,قرص,سيتي,nabumetone 500mg / tab,tab,بيانات مكتملة
7526,Nabton Fort 750,nabumetone,750mg,قرص,سيتي,nabumetone 750mg / tab,tab,بيانات مكتملة
7527,Nervatix Fort,thiamine + vit B6 + vit B12,250mg + 250mg + 1mg,قرص مغلف,سيتي,thiamine 250mg+vit B6 250mg+vit B12 1mg / c-tab,coated-tab,بيانات مكتملة
7528,New Zolidin 400,linezolid,400mg,قرص مغلف,سيتي,linezolid 400mg / c-tab,coated-tab,بيانات مكتملة
7529,New Zolidin 600,linezolid,600mg,قرص مغلف,سيتي,linezolid 600mg / c-tab,coated-tab,بيانات مكتملة
7530,Nospaverin 120,alverine,120mg,كبسولة,سيتي,alverine 120mg / cap,cap,بيانات مكتملة
7531,Nospaverin 60,alverine,60mg,كبسولة,سيتي,alverine 60mg / cap,cap,بيانات مكتملة
7532,Ondazon 4,ondansetron,4mg,شراب,سيتي,ondansetron 4mg / 5ml,syrup,بيانات مكتملة
7533,Ozo Heal D,,,كريم,سيتي,,cream,التركيب غير موجود في APK
7534,Ozo Heal H,,,كريم,سيتي,,cream,التركيب غير موجود في APK
7535,Pana 1000,paracetamol,1000mg,قرص مغلف,سيتي,paracetamol 1000mg / c-tab,coated-tab,بيانات مكتملة
7536,Pana 500,paracetamol,500mg,قرص مغلف,سيتي,paracetamol 500mg / c-tab,coated-tab,بيانات مكتملة
7537,Pana Advance 500,paracetamol,500mg,قرص مغلف,سيتي,paracetamol 500mg / c-tab,coated-tab,بيانات مكتملة
7538,Pana Advance Extra,caffeine + paracetamol,65mg + 500mg,قرص مغلف,سيتي,caffeine 65mg+paracetamol 500mg / c-tab,coated-tab,بيانات مكتملة
7539,Pana C,ascorbic Acid + paracetamol,200mg + 500mg,قرص فوار,سيتي,ascorbic Acid 200mg+paracetamol 500mg / tab,eff-tab,بيانات مكتملة
7540,Pana Cold&Flu Day,caffeine + paracetamol + phenylephrine,25mg + 500mg + 5mg,قرص مغلف,سيتي,caffeine 25mg+paracetamol 500mg+phenylephrine 5mg / c-tab,coated-tab,بيانات مكتملة
7541,Pana Night,,,قرص مغلف,سيتي,,coated-tab,التركيب غير موجود في APK
7542,Paslee,dill Oil + sodium Bi Carbonate,2.3mg + 52.5mg,شراب,سيتي,dill Oil 2.3mg+sodium Bi Carbonate 52.5mg / 5ml,syrup,بيانات مكتملة
7543,Plavispirin 75/100,acetyl Salicylic Acid + clopidogrel,100mg + 75mg,قرص مغلف,سيتي,acetyl Salicylic Acid 100mg+clopidogrel 75mg / c-tab,coated-tab,بيانات مكتملة
7544,Plavispirin 75/150,acetyl Salicylic Acid + clopidogrel,150mg + 75mg,قرص مغلف,سيتي,acetyl Salicylic Acid 150mg+clopidogrel 75mg / c-tab,coated-tab,بيانات مكتملة
7545,Plavispirin 75/75,acetyl Salicylic Acid + clopidogrel,75mg + 75mg,قرص مغلف,سيتي,acetyl Salicylic Acid 75mg+clopidogrel 75mg / c-tab,coated-tab,بيانات مكتملة
7546,Polygyn,metronidazole + neomycin + nystatin + prednisolone 3mg / vag-tab,500mg + 100mg + 100000i.u. + ,vag-tab,سيتي,metronidazole 500mg+neomycin 100mg+nystatin 100000i.u.+prednisolone 3mg / vag-tab,vag-tab,بيانات مكتملة
7547,Pregaford 100,pregabalin,100mg,كبسولة,سيتي,pregabalin 100mg / cap,cap,بيانات مكتملة
7548,Pregaford 150,pregabalin,150mg,كبسولة,سيتي,pregabalin 150mg / cap,cap,بيانات مكتملة
7549,Pregaford 200,pregabalin,200mg,كبسولة,سيتي,pregabalin 200mg / cap,cap,بيانات مكتملة
7550,Pregaford 50,pregabalin,50mg,كبسولة,سيتي,pregabalin 50mg / cap,cap,بيانات مكتملة
7551,Pregaford 75,pregabalin,75mg,كبسولة,سيتي,pregabalin 75mg / cap,cap,بيانات مكتملة
7552,Pregaford Plus,alpha Lipoic Acid + mecobalamin + pregabalin,150mg + 0.75mg + 75mg,كبسولة,سيتي,alpha Lipoic Acid 150mg+mecobalamin 0.75mg+pregabalin 75mg / cap,cap,بيانات مكتملة
7553,Pregnadoxine,doxylamine + vit B6,10mg + 10mg,قرص,سيتي,doxylamine 10mg+vit B6 10mg / c-tab,tab,بيانات مكتملة
